date,observed,trend,seasonal,residual
2020-07-31,998.0,,111.13744212962948,
2020-08-31,346.0,,124.80410879629645,
2020-09-30,3929.0,,261.9152199074076,
2020-10-31,643.0,,642.6374421296296,
2020-11-30,1881.0,,184.16521990740745,
2020-12-31,1038.0,,-1445.2236689814815,
2021-01-31,1974.0,1543.208333333333,95.97077546296285,334.82089120370415
2021-02-28,933.0,1745.4166666666665,-149.27922453703692,-663.1374421296296
2021-03-31,618.0,1899.7916666666665,-86.35214120370367,-1195.4395254629628
2021-04-30,922.0,1993.5416666666665,-491.2271412037037,-580.3145254629628
2021-05-31,2400.0,2086.0833333333335,1727.0749421296296,-1413.158275462963
2021-06-30,1674.0,2185.0,-975.6229745370372,464.6229745370372
2021-07-31,3323.0,2228.4583333333335,111.13744212962948,983.4042245370371
2021-08-31,2874.0,2358.4583333333335,124.80410879629645,390.7375578703701
2021-09-30,5106.0,2699.5,261.9152199074076,2144.584780092592
2021-10-31,1716.0,2999.166666666667,642.6374421296296,-1925.8041087962965
2021-11-30,3029.0,3139.1250000000005,184.16521990740745,-294.2902199074079
2021-12-31,2264.0,3226.0,-1445.2236689814815,483.2236689814815
2022-01-31,1791.0,3280.416666666667,95.97077546296285,-1585.3874421296298
2022-02-28,4236.0,3365.5416666666665,-149.27922453703692,1019.7375578703704
2022-03-31,5500.0,3367.125,-86.35214120370367,2219.2271412037035
2022-04-30,3232.0,3323.958333333333,-491.2271412037037,399.26880787037067
2022-05-31,3449.0,3417.791666666666,1727.0749421296296,-1695.8666087962956
2022-06-30,2710.0,3473.75,-975.6229745370372,211.87297453703718
2022-07-31,3593.0,3553.6249999999995,111.13744212962948,-71.76244212962902
2022-08-31,4647.0,3473.916666666666,124.80410879629645,1048.2792245370374
2022-09-30,3371.0,3100.0416666666665,261.9152199074076,9.043113425925867
2022-10-31,2415.0,2840.7499999999995,642.6374421296296,-1068.387442129629
2022-11-30,4582.0,2992.2083333333335,184.16521990740745,1405.6264467592591
2022-12-31,2054.0,3206.75,-1445.2236689814815,292.4736689814815
2023-01-31,3918.0,3168.2083333333335,95.97077546296285,653.8208912037037
2023-02-28,196.0,3018.8749999999995,-149.27922453703692,-2673.5957754629626
2023-03-31,567.0,2863.2916666666665,-86.35214120370367,-2209.939525462963
2023-04-30,1942.0,3037.0416666666665,-491.2271412037037,-603.8145254629628
2023-05-31,8374.0,3210.875,1727.0749421296296,3436.0500578703704
2023-06-30,2934.0,3146.2083333333335,-975.6229745370372,763.4146412037037
2023-07-31,2444.0,3168.041666666667,111.13744212962948,-835.1791087962964
2023-08-31,2212.0,3449.7499999999995,124.80410879629645,-1362.554108796296
2023-09-30,2072.0,3887.249999999999,261.9152199074076,-2077.165219907407
2023-10-31,7884.0,4170.708333333333,642.6374421296296,3070.6542245370374
2023-11-30,3285.0,4135.708333333332,184.16521990740745,-1034.8735532407395
2023-12-31,1799.0,3943.458333333333,-1445.2236689814815,-699.2346643518515
2024-01-31,4697.0,3902.333333333333,95.97077546296285,698.6958912037042
2024-02-29,6178.0,3908.333333333333,-149.27922453703692,2418.945891203704
2024-03-31,5085.0,3883.2499999999995,-86.35214120370367,1288.1021412037042
2024-04-30,4227.0,3831.4166666666665,-491.2271412037037,886.8104745370372
2024-05-31,5249.0,3746.9999999999995,1727.0749421296296,-225.0749421296291
2024-06-30,1445.0,3758.583333333333,-975.6229745370372,-1337.9603587962958
2024-07-31,2946.0,,111.13744212962948,
2024-08-31,1854.0,,124.80410879629645,
2024-09-30,1828.0,,261.9152199074076,
2024-10-31,6884.0,,642.6374421296296,
2024-11-30,2259.0,,184.16521990740745,
2024-12-31,3103.0,,-1445.2236689814815,
