date,observed,trend,seasonal,residual,month
2020-07-31,316.0,,617.1504629629629,,7
2020-08-31,1071.0,,152.74768518518513,,8
2020-09-30,1444.0,,-296.5995370370372,,9
2020-10-31,1662.0,,-631.5439814814816,,10
2020-11-30,316.0,,-554.1967592592595,,11
2020-12-31,574.0,,1452.1643518518517,,12
2021-01-31,879.0,1103.3749999999998,-872.929398148148,648.5543981481483,1
2021-02-28,860.0,1111.2916666666665,-773.1377314814813,521.8460648148148,2
2021-03-31,1055.0,1159.7916666666665,223.69560185185213,-328.48726851851865,3
2021-04-30,1214.0,1257.9583333333333,963.3101851851851,-1007.2685185185184,4
2021-05-31,1455.0,1413.6666666666665,553.2476851851852,-511.91435185185173,5
2021-06-30,2185.0,1632.6666666666665,-833.908564814815,1386.2418981481485,6
2021-07-31,735.0,1729.9166666666665,617.1504629629629,-1612.0671296296296,7
2021-08-31,842.0,1760.875,152.74768518518513,-1071.6226851851852,8
2021-09-30,2837.0,1896.75,-296.5995370370372,1236.8495370370372,9
2021-10-31,2625.0,2127.5833333333335,-631.5439814814816,1128.9606481481483,10
2021-11-30,3090.0,2332.2083333333335,-554.1967592592595,1311.988425925926,11
2021-12-31,3056.0,2397.666666666667,1452.1643518518517,-793.8310185185187,12
2022-01-31,731.0,2586.958333333333,-872.929398148148,-983.028935185185,1
2022-02-28,1751.0,2942.291666666666,-773.1377314814813,-418.15393518518476,2
2022-03-31,3425.0,3104.9166666666665,223.69560185185213,96.38773148148135,3
2022-04-30,4384.0,3084.666666666667,963.3101851851851,336.0231481481479,4
2022-05-31,3196.0,3034.9166666666665,553.2476851851852,-392.16435185185173,5
2022-06-30,2015.0,2987.9166666666665,-833.908564814815,-139.0081018518515,6
2022-07-31,5448.0,2987.1250000000005,617.1504629629629,1843.7245370370365,7
2022-08-31,4657.0,2992.5416666666665,152.74768518518513,1511.7106481481483,8
2022-09-30,2925.0,2886.4166666666665,-296.5995370370372,335.18287037037067,9
2022-10-31,2051.0,2810.9583333333335,-631.5439814814816,-128.41435185185185,10
2022-11-30,2470.0,2810.0,-554.1967592592595,214.19675925925947,11
2022-12-31,2548.0,2758.7083333333335,1452.1643518518517,-1662.8726851851852,12
2023-01-31,1220.0,2609.3749999999995,-872.929398148148,-516.4456018518515,1
2023-02-28,1392.0,2389.0,-773.1377314814813,-223.8622685185187,2
2023-03-31,1237.0,2191.4166666666665,223.69560185185213,-1178.1122685185187,3
2023-04-30,4761.0,2057.166666666667,963.3101851851851,1740.5231481481478,4
2023-05-31,2796.0,1937.0416666666667,553.2476851851852,305.71064814814804,5
2023-06-30,1184.0,2031.5833333333333,-833.908564814815,-13.674768518518249,6
2023-07-31,2695.0,2267.9999999999995,617.1504629629629,-190.15046296296248,7
2023-08-31,2121.0,2366.8333333333335,152.74768518518513,-398.5810185185186,8
2023-09-30,719.0,2546.1250000000005,-296.5995370370372,-1530.5254629629633,9
2023-10-31,1035.0,2625.583333333333,-631.5439814814816,-959.0393518518514,10
2023-11-30,603.0,2641.875,-554.1967592592595,-1484.6782407407404,11
2023-12-31,6684.0,2733.625,1452.1643518518517,2498.2106481481483,12
2024-01-31,2758.0,2724.6666666666665,-872.929398148148,906.2627314814815,1
2024-02-29,2226.0,2823.6249999999995,-773.1377314814813,175.51273148148175,2
2024-03-31,4706.0,3016.749999999999,223.69560185185213,1465.5543981481487,3
2024-04-30,3199.0,3249.6249999999995,963.3101851851851,-1013.9351851851847,4
2024-05-31,4749.0,3542.0416666666665,553.2476851851852,653.7106481481483,5
2024-06-30,1433.0,3445.1250000000005,-833.908564814815,-1178.2164351851854,6
2024-07-31,2231.0,,617.1504629629629,,7
2024-08-31,4960.0,,152.74768518518513,,8
2024-09-30,2515.0,,-296.5995370370372,,9
2024-10-31,4828.0,,-631.5439814814816,,10
2024-11-30,3828.0,,-554.1967592592595,,11
2024-12-31,1133.0,,1452.1643518518517,,12
