station,avg_weekday_ridership,avg_weekend_ridership,percent_change_compared_to_weekday
Hunters Point Av (7),4507.333333333333,1267.3333333333333,-72.0
33 St-Rawson St (7),6765.333333333333,2788.5,-59.0
Pelham Pkwy (5),2214.3333333333335,980.6666666666666,-56.00000000000001
"5 Av-53 St (E,M)",16844.666666666668,7898.333333333333,-53.0
Neptune Av (F),1103.5,545.5,-51.0
Avenue I (F),1283.3333333333333,682.5,-47.0
Eastchester-Dyre Av (5),3127.3333333333335,1687.8333333333333,-46.0
Morris Park (5),1798.0,962.0,-46.0
Avenue N (F),1996.0,1105.3333333333333,-45.0
Avenue X (F),1821.0,1063.3333333333333,-42.0
Ditmas Av (F),2955.1666666666665,1708.6666666666667,-42.0
"Wall St (2,3)",14080.666666666666,8252.166666666666,-41.0
